Unix Timestamp,Date,day of week,Symbol,Open,High,Low,Close,Volume,R
1471665600.0,2016-08-20 04:00:00,5,BTCUSD,573.75,580.99,573.75,580.99,460.1920652,0.012539783625074526
1471579200.0,2016-08-19 04:00:00,4,BTCUSD,575.43,576.99,570.0,573.75,1488.418038,-0.0029238260269513925
1471492800.0,2016-08-18 04:00:00,3,BTCUSD,574.41,576.72,573.0,575.43,1223.83057,0.0017741603484829865
1471406400.0,2016-08-17 04:00:00,2,BTCUSD,578.43,579.61,571.16,574.41,1392.107311,-0.006974109666190781
1471320000.0,2016-08-16 04:00:00,1,BTCUSD,566.99,582.87,565.11,578.43,1969.121181,0.019975869831493583
1471233600.0,2016-08-15 04:00:00,0,BTCUSD,572.99,573.43,560.32,566.99,1320.635209,-0.01052659766755013
1471147200.0,2016-08-14 04:00:00,6,BTCUSD,583.14,584.37,566.0,572.99,508.3832052,-0.0175590301879635
1471060800.0,2016-08-13 04:00:00,5,BTCUSD,584.65,589.01,583.14,583.14,230.945475,-0.002586082842893234
1470974400.0,2016-08-12 04:00:00,4,BTCUSD,587.01,590.22,584.13,584.65,1199.658658,-0.004028477871789643
1470888000.0,2016-08-11 04:00:00,3,BTCUSD,596.91,597.19,587.01,587.01,1030.622486,-0.016724492801149217
1470801600.0,2016-08-10 04:00:00,2,BTCUSD,587.76,600.0,587.26,596.91,1242.611141,0.015447646947244308
1470715200.0,2016-08-09 04:00:00,1,BTCUSD,591.32,592.9,583.43,587.76,1503.289066,-0.0060386247208673045
1470628800.0,2016-08-08 04:00:00,0,BTCUSD,589.91,598.99,587.01,591.32,1124.08184,0.0023873431417765537
1470542400.0,2016-08-07 04:00:00,6,BTCUSD,591.49,598.99,583.68,589.91,460.3218825,-0.002674794213665594
1470456000.0,2016-08-06 04:00:00,5,BTCUSD,576.17,592.99,572.14,591.49,618.9777964,0.026242021064912385
1470369600.0,2016-08-05 04:00:00,4,BTCUSD,581.0,581.81,572.0,576.17,1457.162609,-0.008348000812045337
1470283200.0,2016-08-04 04:00:00,3,BTCUSD,590.0,598.0,567.61,581.0,1114.496207,-0.015371780047853887
